"Category","Keywords"
"Cloud Migration Engineer","cloud migration,lift and shift,re-architecture,aws,gcp,azure,terraform,assessment,discovery,cutover,testing,rollback"
"FinTech Developer","fintech,payments,stripe,plaid,open banking,psd2,swift,iso 20022,financial api,compliance,kyc,aml,python,java,microservices"
"HealthTech Developer","healthtech,hl7,fhir,epic,cerner,interoperability,hipaa,ehr,clinical decision support,medical devices,api,python,javascript"
"EdTech Developer","edtech,lms,scorm,xapi,canvas,moodle,blackboard,accessibility,wcag,gamification,learning analytics,python,javascript,react"
"LegalTech Developer","legaltech,contract management,e-discovery,legal analytics,nlp,ocr,python,node.js,react,postgresql,compliance,api"
"PropTech Developer","proptech,real estate,mls,listing,map integration,payments,lease management,node.js,react,python,postgresql,aws"
"AdTech Developer","adtech,dsp,ssp,rtb,real time bidding,programmatic,tracking,attribution,data pipeline,kafka,python,scala,go,sql"
"InsurTech Developer","insurtech,insurance,policy management,claims,underwriting,api,python,node.js,react,kafka,compliance,actuarial,ml"
"Cybersecurity Engineer","security engineering,siem,ids,ips,firewall,vulnerability management,devsecops,sast,dast,python,bash,splunk,crowdstrike"
"Malware Analyst","malware analysis,reverse engineering,ida pro,ghidra,x64dbg,yara,sandbox,dynamic analysis,static analysis,threat intelligence"
"Incident Responder","incident response,forensics,containment,eradication,recovery,siem,splunk,threat hunting,ioc,playbook,report,python,bash"
"Bug Bounty Hunter","bug bounty,web security,owasp,xss,sql injection,ssrf,csrf,xxe,idor,authentication bypass,hackerone,bugcrowd,cve"
"Ethical Hacker","penetration testing,kali linux,metasploit,burp suite,nmap,wireless,social engineering,phishing,exploit,red team,ctf"
"Network Security Engineer","network security,firewall,palo alto,fortinet,checkpoint,ids,ips,vpn,siem,packet analysis,wireshark,cisco,juniper"
"Zero Trust Architect","zero trust,sase,ztna,micro-segmentation,identity,iam,pam,mfa,conditional access,cloudflare,zscaler,okta,azure ad"
"Quantum Computing Developer","quantum computing,qiskit,cirq,quantum circuits,qubit,superposition,entanglement,quantum algorithms,ibm quantum,python"
"Computer Graphics Engineer","opengl,vulkan,directx,metal,shaders,hlsl,glsl,rendering pipeline,ray tracing,rasterization,gpu,c++,graphics programming"
"Simulation Engineer","simulation,matlab,simulink,ansys,comsol,openfoam,gazebo,ros,python,c++,modeling,validation,digital twin"
"Digital Twin Engineer","digital twin,iiot,azure digital twins,aws iot,siemens mindsphere,python,time series,mqtt,modeling,simulation,sensor"
"Edge Computing Engineer","edge computing,iot,mqtt,aws greengrass,azure iot edge,google coral,kubernetes edge,k3s,rtos,embedded,python,c++"
"5G Network Engineer","5g,lte,oran,radio access network,ran,core network,network slicing,mmwave,beamforming,3gpp,nsa,sa,spectrum,antenna"
"Satellite Engineer","satellite,orbit,telemetry,attitude control,power systems,thermal,structure,gps,link budget,ground station,space systems"
"Autonomous Vehicle Engineer","autonomous vehicles,self-driving,lidar,radar,camera,sensor fusion,slam,path planning,ros,c++,python,carla,simulation"
"Robotics Software Engineer","ros,ros2,c++,python,motion planning,perception,manipulation,navigation,simulation,gazebo,mujoco,control,slam"
"Computer Architect","computer architecture,cpu,gpu,fpga,asic,risc-v,arm,pipeline,cache,memory hierarchy,verilog,vhdl,gem5,simulation"
"Geospatial Analyst","gis,arcgis,qgis,remote sensing,satellite imagery,spatial analysis,python,postgis,mapbox,leaflet,georeferencing"
"Sports Data Analyst","sports analytics,python,r,sql,tracking data,expected goals,xg,statsbomb,tableau,performance analysis,video analysis"
"Social Media Analyst","social media analytics,facebook insights,instagram analytics,twitter analytics,hootsuite,sprout social,sentiment,engagement"
"Customer Data Analyst","customer analytics,crm,salesforce,sql,python,tableau,power bi,segmentation,ltv,churn,cohort,retention,rfm"
"Healthcare Data Analyst","healthcare analytics,sql,python,r,tableau,power bi,ehr,epic,claims data,icd,cpt,hcahps,quality metrics"
"Real Estate Data Analyst","real estate analytics,sql,python,excel,arcgis,market analysis,comp analysis,argus,tableau,demographics,trends"
"Actuarial Analyst","actuarial,pricing,reserving,r,python,sas,excel,statistical modeling,glm,risk,regulatory,solvency,loss development"
"Economic Analyst","economics,econometrics,stata,r,python,regression,policy analysis,forecasting,macroeconomics,microeconomics,research"
"Insurance Data Analyst","insurance analytics,claims,underwriting,pricing,sql,python,r,excel,tableau,sas,predictive modeling,actuarial"
"Compliance Analyst","compliance,kyc,aml,regulatory,risk management,audit,policy,procedure,bsa,ofac,gdpr,reporting,financial regulations"
"AML Analyst","aml,anti-money laundering,kyc,transaction monitoring,suspicious activity report,sar,ofac,sanctions,risk assessment,compliance"
"Financial Risk Analyst","risk analysis,var,cvar,stress testing,scenario analysis,credit risk,market risk,operational risk,excel,python,r,regulatory"
"Derivatives Trader","derivatives,options,futures,swaps,delta,gamma,vega,theta,rho,pricing,risk,hedging,bloomberg,python"
"Fixed Income Trader","fixed income,bonds,treasury,rates,spread,yield curve,duration,convexity,bloomberg,trading,risk,hedge,credit"
"M&A Analyst","m&a,mergers acquisitions,financial modeling,lbo,dcf,valuation,due diligence,pitch book,excel,cim,deal process"
"IPO Analyst","ipo,equity capital markets,ecm,s-1,prospectus,road show,valuation,book runner,underwriting,securities,sec,investment banking"
"Wealth Manager","wealth management,portfolio,financial planning,retirement,tax,estate planning,investment,client relationship,cfp,cfa,bloomberg"
"Insurance Analyst","insurance analysis,underwriting,pricing,claims,actuarial,risk,policy,excel,sas,python,r,reinsurance,regulatory"
"Private Wealth Advisor","private wealth,high net worth,portfolio management,financial planning,estate,tax,investment,family office,alternative investments"
"Trade Finance Analyst","trade finance,letter of credit,documentary collection,guarantee,swift,incoterms,import,export,risk,compliance,kyc"
"Demand Generation Manager","demand generation,inbound marketing,content,seo,sem,webinars,email,marketing automation,mql,pipeline,hubspot,marketo"
"Account Based Marketing Manager","abm,account based marketing,target account,personalization,linkedin ads,intent data,6sense,demandbase,salesforce,reporting"
"Marketing Automation Specialist","marketing automation,hubspot,marketo,pardot,eloqua,salesforce,nurture,drip campaigns,lead scoring,segmentation,workflows"
"Conversion Rate Optimization Specialist","cro,a/b testing,multivariate testing,landing page,google optimize,vwo,optimizely,heatmap,hotjar,session recording,ux"
"Customer Insights Manager","customer insights,research,survey,nps,csat,ces,focus group,data analysis,segmentation,persona,tableau,sql,reporting"
"Loyalty Program Manager","loyalty,rewards program,crm,customer retention,engagement,points,tier,partner,analytics,nps,clv,retention,churn"
"Digital Advertising Specialist","digital advertising,google ads,facebook ads,meta ads,programmatic,display,video,youtube,linkedin ads,twitter ads,tiktok"
"Trade Marketing Manager","trade marketing,shopper marketing,retail,in-store,promotions,channel,distribution,pos,sell-in,category management,nielsen"
"Ecommerce Manager","ecommerce,shopify,magento,woocommerce,product listings,seo,ppc,email marketing,conversion,cart abandonment,amazon,google shopping"
"Podcast Marketing Specialist","podcast marketing,spotify,apple podcasts,rss,promotion,audience growth,seo,social media,analytics,ad reads,cross promotion"
"Video Marketing Specialist","video marketing,youtube,tiktok,instagram reels,video production,premiere pro,seo,thumbnails,analytics,ads,engagement"
"Diversity Equity Inclusion Manager","diversity equity inclusion,dei,unconscious bias,belonging,employee resource groups,erg,training,metrics,strategy,recruiting"
"Employee Experience Manager","employee experience,engagement,culture,onboarding,surveys,nps,workplace,benefits,wellbeing,recognition,retention"
"Organizational Development Consultant","organizational development,change management,leadership development,coaching,facilitation,assessment,culture,transformation"
"Workforce Planning Analyst","workforce planning,headcount,forecasting,attrition,skills gap,succession,talent,analytics,excel,tableau,hris,workday"
"Total Rewards Manager","total rewards,compensation,benefits,equity,bonus,salary benchmarking,job grading,mercer,radford,hris,workday,survey"
"HR Analytics Manager","hr analytics,people analytics,workforce data,turnover,retention,diversity,headcount,sql,python,tableau,workday,successfactors"
"Executive Compensation Manager","executive compensation,equity,stock options,rsu,performance shares,proxy,sec filings,benchmarking,committee,governance"
"Benefits Administrator","benefits administration,health insurance,dental,vision,401k,open enrollment,cobra,fmla,ada,hris,vendor management"
"Chief Operating Officer","coo,operations,strategy,execution,cross functional,leadership,kpi,budget,board,investor,process,efficiency,scaling"
"Business Process Manager","business process management,bpmn,process improvement,lean,six sigma,automation,rpa,workflow,erp,sap,documentation"
"Continuous Improvement Manager","continuous improvement,lean,six sigma,kaizen,value stream mapping,5s,kanban,kpi,oee,root cause analysis,waste reduction"
"Facilities Manager","facilities management,maintenance,vendor management,space planning,safety,osha,lease,budget,real estate,sustainability"
"Procurement Analyst","procurement,strategic sourcing,rfq,rfp,vendor management,negotiation,sap,ariba,spend analysis,cost reduction,excel"
"Global Operations Manager","global operations,cross cultural,supply chain,logistics,compliance,regulatory,erp,sap,kpi,cost reduction,process improvement"
"Health Safety Environment Manager","hse,health safety environment,iso 14001,iso 45001,osha,risk assessment,incident investigation,training,audit,compliance"
"Risk Management Analyst","risk management,risk assessment,risk register,mitigation,compliance,audit,excel,grc,iso 31000,regulatory,reporting"
"Creative Strategist","creative strategy,brand,campaigns,consumer insights,positioning,ideation,storytelling,cross functional,account management"
"Head of Design","design leadership,team management,design strategy,brand,ux,product design,figma,design system,stakeholder,roadmap,hiring"
"Typography Designer","typography,type design,font,typeface,adobe illustrator,glyphs,kerning,letter spacing,editorial,brand,print,digital"
"Packaging Designer","packaging design,structural design,dieline,adobe illustrator,photoshop,print production,brand,retail,sustainability,3d"
"Exhibition Designer","exhibition design,spatial design,cad,autocad,revit,3d modeling,rendering,wayfinding,graphic design,visitor experience"
"Design Researcher","design research,user research,qualitative,quantitative,ethnography,synthesis,persona,journey map,insight,product design"
"Creative Technologist","creative technology,creative coding,p5.js,three.js,ar,vr,installation,interactive,prototyping,javascript,openframeworks"
"Privacy Counsel","privacy law,gdpr,ccpa,cpra,data protection,dpia,consent,data breach,regulatory,compliance,cipp,cipm,contract"
"Securities Lawyer","securities law,sec,exchange act,securities act,public company,private placement,ipo,m&a,insider trading,proxy,disclosure"
"Immigration Lawyer","immigration law,visa,green card,h-1b,o-1,l-1,naturalization,deportation,asylum,removal,cbp,uscis,state department"
"Bankruptcy Attorney","bankruptcy,chapter 7,chapter 11,chapter 13,restructuring,insolvency,creditor,debtor,reorganization,plan,disclosure statement"
"Tax Attorney","tax law,irs,tax planning,tax controversy,corporate tax,transfer pricing,international tax,estate tax,tax audit,tax litigation"
"Real Estate Attorney","real estate law,transaction,title,closing,escrow,zoning,entitlement,contract,lease,landlord tenant,commercial,residential"
"Healthcare Attorney","healthcare law,hipaa,stark law,anti-kickback,false claims act,fda,cms,medicare,medicaid,regulatory,compliance,licensure"
"Criminal Defense Attorney","criminal defense,criminal law,trial,plea bargain,motion,evidence,constitutional,rights,appeal,felony,misdemeanor,jury"
"Class Action Attorney","class action,litigation,mass tort,discovery,settlement,certification,damages,consumer protection,securities,employment"
"Environmental Attorney","environmental law,epa,cercla,clean air act,clean water act,nepa,permits,compliance,litigation,regulatory,enforcement"
"Computational Biologist","computational biology,python,r,bioinformatics,genomics,proteomics,machine learning,sequence analysis,structural biology"
"Structural Biologist","structural biology,x-ray crystallography,cryo-em,nmr,protein structure,pymol,phenix,ccp4,drug design,molecular dynamics"
"Cell Biologist","cell biology,cell culture,microscopy,flow cytometry,western blot,immunofluorescence,crispr,gene editing,confocal,tirf"
"Organic Chemist","organic chemistry,synthesis,nmr,ms,hplc,reaction optimization,scale up,medicinal chemistry,lead optimization,laboratory"
"Analytical Chemist","analytical chemistry,hplc,gc-ms,nmr,mass spectrometry,uv-vis,method development,validation,gmp,quality control,laboratory"
"Physical Chemist","physical chemistry,spectroscopy,computational chemistry,dft,molecular dynamics,kinetics,thermodynamics,quantum chemistry,python"
"Immunologist","immunology,flow cytometry,elisa,antibody,t cell,b cell,cytokines,western blot,mouse models,crispr,cell culture,assay development"
"Virologist","virology,cell culture,pcr,sequencing,virus,infection,pathogen,biosafety,mouse models,neutralization assay,viral vector"
"Microbiologist","microbiology,cell culture,pcr,sequencing,bacteria,fungi,antimicrobial,biosafety,aseptic technique,growth curves,genotyping"
"Toxicologist","toxicology,in vitro,in vivo,ld50,dose response,regulatory,fda,echa,reach,gmp,glp,safety assessment,risk assessment"
"Neuropharmacologist","neuropharmacology,pharmacology,cns,receptor,ligand binding,electrophysiology,behavior,animal models,drug discovery,assay"
"Oncology Researcher","oncology research,cancer biology,cell signaling,tumor,apoptosis,drug resistance,clinical trials,mouse models,crispr,sequencing"
"Acoustic Engineer","acoustics,noise control,vibration,measurement,ansys,matlab,finite element,nfv,iso,ansi,room acoustics,noise mapping"
"Optical Engineer","optics,laser,photonics,zemax,oslo,optical design,fiber optics,imaging,spectroscopy,lens,testing,measurement"
"Nuclear Engineer","nuclear engineering,reactor,neutronics,thermal hydraulics,shielding,radiation,mcnp,serpent,relap,regulatory,nrc,safety"
"Ocean Engineer","ocean engineering,offshore structures,hydrodynamics,mooring,marine,subsea,orcaflex,ansys aqwa,regulations,dno,api"
"Mining Engineer","mining,open pit,underground,blast design,ventilation,mine planning,autocad,vulcan,surpac,safety,osha,msha,environmental"
"Petroleum Engineer","petroleum engineering,reservoir,drilling,completion,production,well,decline curve,eclipse,petrel,mbal,afe,regulations"
"Packaging Engineer","packaging engineering,materials,structural design,sustainability,testing,fea,autocad,solidworks,supply chain,fda,gmp"
"Welding Engineer","welding engineering,wps,pqr,weld inspection,metallurgy,ndt,asme,aws,d1.1,d1.5,destructive testing,qualification"
"Corrosion Engineer","corrosion,cathodic protection,coatings,inspection,nace,iso,risk based inspection,failure analysis,metallurgy,oilgas"
"Gastroenterologist","gastroenterology,endoscopy,colonoscopy,gi,liver,hepatology,crohn,ibd,ehr,clinical trials,procedures,endo suite"
"Rheumatologist","rheumatology,arthritis,lupus,ra,autoimmune,dmard,biologic,infusion,joint,imaging,clinical trials,ehr,research"
"Endocrinologist","endocrinology,diabetes,thyroid,hormone,insulin,continuous glucose monitor,cgm,pump,metabolism,clinical trials,ehr"
"Pulmonologist","pulmonology,respiratory,lung,copd,asthma,sleep apnea,bronchoscopy,spirometry,icu,ventilator,clinical trials,ehr"
"Urologist","urology,prostate,kidney,bladder,incontinence,laparoscopic,robotic,cystoscopy,stone,cancer,bph,ehr,surgery"
"Nephrologist","nephrology,kidney,dialysis,hemodialysis,renal failure,akf,ckd,transplant,electrolytes,fluid management,ehr,clinical"
"Hematologist","hematology,blood,leukemia,lymphoma,myeloma,bone marrow,stem cell transplant,transfusion,coagulation,flow cytometry,ehr"
"Infectious Disease Physician","infectious disease,infection,antibiotic,sepsis,hiv,hepatitis,microbiology,cultures,antimicrobial stewardship,id,ehr"
"Sports Medicine Physician","sports medicine,athlete,musculoskeletal,injury,rehabilitation,concussion,ultrasound,injections,return to sport,ehr"
"Palliative Care Physician","palliative care,hospice,pain management,symptom management,goals of care,communication,end of life,advance directive,ehr"
"Hospitalist","hospital medicine,inpatient,discharge,care coordination,ehr,epic,rounding,patient safety,rapid response,quality improvement"
"Telemedicine","telemedicine,telehealth,virtual care,remote,e-prescribing,ehr,patient communication,state licensure,connectivity,clinical"
"Dietitian","dietitian,nutrition,clinical nutrition,medical nutrition therapy,enteral,parenteral,ehr,epic,counseling,diabetes,renal"
"Genetic Counselor","genetic counseling,genetics,variant interpretation,patient counseling,risk assessment,hereditary cancer,chromosomes,cytogenetics"
"Radiology Technologist","radiology,x-ray,ct,mri,ultrasound,fluoroscopy,pacs,arrt,positioning,radiation safety,contrast,image quality"
"Dental Assistant","dentistry,dental assistant,chairside,radiograph,impressions,infection control,cda,scheduling,patient care,dental software"
"Dentist","dentistry,dds,dmd,restorative,cosmetic,endodontics,periodontics,oral surgery,x-ray,patient care,dental software,billing"
"Orthodontist","orthodontics,braces,invisalign,clear aligners,extraction,expansion,malocclusion,cephalometric,study models,imaging,dental"
"Oral Surgeon","oral surgery,extraction,implant,wisdom teeth,jaw,facial trauma,anesthesia,bone graft,biopsy,imaging,dental,procedure"
"Veterinary Technician","veterinary technician,vet tech,animal care,laboratory,imaging,surgery,anesthesia,medication,patient records,client communication"
"Curriculum Developer","curriculum development,instructional design,learning objectives,assessment,lms,scorm,alignment,standards,ux,evaluation"
"Education Policy Analyst","education policy,research,legislation,data analysis,stakeholder engagement,reporting,evaluation,government,reform"
"Academic Dean","academic leadership,curriculum,faculty,accreditation,budget,student success,assessment,strategic planning,stakeholder"
"School Administrator","school administration,leadership,budget,staff management,student outcomes,compliance,policy,community engagement"
"Library Director","library management,collections,budget,staff,community engagement,programming,digital resources,technology,grants"
"University Registrar","registrar,enrollment management,student records,transcript,degree audit,graduation,compliance,erp,reporting,policy"
"Financial Aid Officer","financial aid,fafsa,federal student aid,grants,scholarships,loans,verification,default,compliance,reporting,student"
"Admissions Counselor","admissions,recruitment,college fairs,interviews,review,decision,scholarship,diversity,outreach,crm,enrollment"
"Budget Analyst","budget analysis,financial management,appropriations,forecasting,excel,sql,reporting,stakeholder,compliance,government"
"City Manager","city management,government,operations,budget,policy,leadership,staff,community,council,public safety,infrastructure"
"Emergency Management Director","emergency management,fema,eop,hazmat,incident command,ics,continuity of operations,coop,training,exercise,grant"
"Public Health Director","public health,epidemiology,community health,health policy,budget,staff management,regulatory,grant,stakeholder"
"Parks Recreation Director","parks recreation,programming,community,facilities,maintenance,budget,staff management,grants,safety,special events"
"Human Services Director","human services,social services,budget,compliance,policy,staff management,community,grants,reporting,stakeholder"
"Tax Commissioner","tax administration,property tax,assessment,appraisal,appeals,compliance,budget,staff management,technology,reporting"
"Court Administrator","court administration,case management,scheduling,budget,staff,compliance,records,technology,stakeholder,reporting"
"Elevator Technician","elevator,escalator,installation,maintenance,repair,hydraulic,traction,safety code,asme a17.1,electrical,inspection"
"Fire Protection Engineer","fire protection,sprinkler,suppression,fire alarm,nfpa,code compliance,hazard analysis,hydraulic calculations,inspection"
"Solar Installer","solar,photovoltaic,pv,installation,electrical,wiring,roof,mounting,net metering,nec,osha,system design,commissioning"
"Wind Turbine Technician","wind turbine,maintenance,repair,electrical,mechanical,hydraulics,climbing,safety,scada,troubleshooting,gearbox,generator"
"Diesel Mechanic","diesel,engine,transmission,hydraulics,electrical,diagnostic,preventive maintenance,cdl,heavy equipment,trucks,fleet"
"Refrigeration Technician","refrigeration,hvac,refrigerant,epa 608,compressor,evaporator,condenser,electrical,troubleshooting,commercial,industrial"
"Water Treatment Operator","water treatment,wastewater,filtration,chlorination,testing,compliance,epa,state regulations,reporting,safety,operator license"
"Crane Operator","crane operation,rigging,load calculation,safety,osha,nccco,certification,signals,site coordination,inspection"
"Pipefitter","pipefitting,welding,blueprint reading,pipe,layout,installation,pressure testing,isometric,safety,osha,asme"
"Sheet Metal Worker","sheet metal,fabrication,hvac,ductwork,blueprint,layout,welding,installation,safety,osha,apprenticeship"
"Retail Manager","retail management,store operations,sales,inventory,staff management,customer service,merchandising,kpi,loss prevention,pos"
"Buyer","retail buying,merchandise planning,vendor management,purchasing,negotiation,trend analysis,open to buy,otb,inventory,markdown"
"Merchandising Manager","merchandising,visual merchandising,planogram,assortment planning,inventory,sell-through,margin,vendor,trend,retail"
"Category Manager","category management,procurement,vendor management,sourcing,negotiation,analytics,pricing,margin,market analysis"
"Ecommerce Coordinator","ecommerce,shopify,product listings,seo,images,inventory,orders,customer service,analytics,email marketing,social media"
"Amazon Marketplace Manager","amazon,amazon seller central,amazon vendor central,asin,listing optimization,ppc,sponsored products,fba,fulfillment by amazon,review management,ranking,buybox"
"Retail Analyst","retail analytics,sell-through,inventory,margin,pricing,sql,excel,tableau,market analysis,planogram,category management"
"Loss Prevention Manager","loss prevention,shrinkage,theft,cctv,investigation,compliance,safety,retail,training,policy,report writing"
"International Development Specialist","international development,development programs,monitoring evaluation,logframe,m&e,humanitarian,donor reporting,budget,field"
"Humanitarian Aid Worker","humanitarian,emergency response,shelter,food security,wash,protection,camp coordination,ngos,un,field work,logistics"
"Microfinance Specialist","microfinance,financial inclusion,mfi,loans,credit,savings,impact measurement,field operations,poverty,rural,developing countries"
"Conservation Scientist","conservation,ecology,wildlife,biodiversity,gis,field research,monitoring,remote sensing,policy,stakeholder engagement"
"Development Economics Researcher","development economics,poverty,impact evaluation,rct,randomized controlled trial,stata,r,data analysis,field research,policy"
"Museum Curator","museum,curation,collection management,exhibition,art history,research,cataloging,conservation,loans,provenance,donor relations"
"Gallery Director","gallery,art,exhibitions,artist relations,sales,acquisition,budget,marketing,events,collector,contemporary art,modern art"
"Arts Administrator","arts administration,nonprofit,budget,grant writing,programming,events,marketing,community engagement,board,fundraising"
"Performing Arts Manager","performing arts,theatre,dance,music,programming,production,budget,marketing,box office,ticketing,venue,board"
"Music Director","music direction,conducting,repertoire,ensemble,rehearsal,performance,music education,score preparation,programming,artists"
"Low Code Developer","power apps,power automate,outsystems,mendix,appian,salesforce,servicenow,low code,no code,workflow,automation,citizen developer"
"Salesforce Developer","salesforce,apex,visualforce,lightning,lwc,salesforce crm,soql,sosl,integration,rest api,salesforce admin,trailhead"
"ServiceNow Developer","servicenow,itsm,hrsd,csm,scripting,flow designer,integration hub,rest api,javascript,glide,cmdb,portal"
"SAP Developer","sap,abap,fiori,btp,s4hana,sd,mm,fi,co,bapis,idocs,smartforms,adobe forms,hana,sql,integration"
"Oracle Developer","oracle,pl/sql,oracle apex,oracle forms,oracle reports,erp,ebs,cloud,integration,rest api,sql,java"
"Microsoft 365 Developer","microsoft 365,sharepoint,teams,power platform,power apps,power automate,azure ad,graph api,spo,flow,viva,adoption"
"Dynamics 365 Developer","dynamics 365,c#,.net,power platform,power apps,dataverse,azure,api,plugin,workflow,pcf,model driven app,canvas app"
"NetSuite Developer","netsuite,suitescript,suiteflow,suitelet,customization,restlet,integration,edi,ecommerce,crm,erp,reporting"
"Workday Developer","workday,workday studio,eis,raas,xslt,rest api,integration,hcm,payroll,financials,report writing,prism"
"Tableau Developer","tableau,tableau server,tableau cloud,calculated fields,lod,data blending,javascript api,rest api,sql,python,analytics"
"Power BI Developer","power bi,dax,power query,m,data model,star schema,report,dashboard,power bi service,row level security,dataflow"
"Looker Developer","looker,lookml,explores,dimensions,measures,derived tables,sql,bigquery,snowflake,redshift,dashboard,data governance"
"Databricks Engineer","databricks,apache spark,delta lake,unity catalog,mlflow,notebooks,python,scala,sql,aws,gcp,azure,jobs,workflows"
"Snowflake Engineer","snowflake,sql,data warehouse,data sharing,snowpipe,tasks,streams,dbt,python,time travel,cloning,performance tuning"
"dbt Developer","dbt,data build tool,sql,bigquery,snowflake,redshift,databricks,models,tests,documentation,sources,snapshots,materializations"
"Payment Systems Engineer","payments,stripe,braintree,adyen,paypal,pci dss,tokenization,3ds,fraud detection,iso 8583,swift,card networks,api"
"Fraud Analyst","fraud detection,transaction monitoring,machine learning,rules engine,chargeback,kyc,aml,python,sql,tableau,false positive"
"Quantitative Developer","quantitative,c++,python,java,low latency,high frequency,fix protocol,market data,order management,backtest,risk"
"Algorithmic Trading Developer","algorithmic trading,c++,python,fix protocol,market microstructure,latency,order execution,market data,backtesting,risk"
"Open Banking Developer","open banking,psd2,api,oauth2,fapi,json,rest,consent,tpp,aisp,pisp,fintech,banking,integration"
"Solar Energy Engineer","solar,photovoltaic,pv,energy storage,inverter,grid,net metering,autocad,pvsyst,pvsol,nec,design,commissioning"
"Wind Energy Engineer","wind energy,wind turbine,structural,aerodynamics,fatigue,openfast,bladed,matlab,ansys,scada,commissioning,regulatory"
"Battery Storage Engineer","battery,energy storage,bms,lithium ion,cell,module,pack,thermal management,cycle life,charging,electric vehicle,grid"
"Energy Analyst","energy analysis,energy modeling,energy efficiency,hvac,lighting,equest,energyplus,leed,ashrae,utility bills,reporting"
"Grid Engineer","power grid,transmission,distribution,scada,energy management system,ems,protection relay,load flow,fault analysis,ieee"
"Communications Manager","communications,pr,media relations,press release,crisis communications,internal communications,brand,social media,writing"
"Corporate Communications Director","corporate communications,investor relations,media relations,executive communications,crisis management,board,reputation"
"Investor Relations Manager","investor relations,ir,earnings call,annual report,10-k,sec filings,analyst coverage,roadshow,institutional investors,esg"
"Internal Communications Manager","internal communications,employee communications,intranet,town hall,newsletter,change management,culture,engagement,brand"
"Commercial Real Estate Analyst","commercial real estate,financial modeling,argus,dcf,noi,cap rate,market analysis,leasing,debt,equity,refinancing"
"Real Estate Investment Analyst","real estate investment,financial modeling,argus,pro forma,dcf,irr,equity multiple,waterfall,debt,portfolio management"
"Leasing Agent","leasing,commercial real estate,residential,tenant,landlord,lease negotiation,crm,market knowledge,prospecting,tours"
"Property Appraiser","real estate appraisal,comparable sales,income approach,cost approach,ais,fnma,fha,review,inspection,reporting,license"
"Tax Manager","tax,corporate tax,income tax,tax provision,deferred tax,transfer pricing,international tax,r&d tax credit,state local tax,excel,onesource,corptax,erp,gaap"
"Internal Auditor","internal audit,sox,risk based audit,internal controls,cia,cisa,data analytics,excel,acl,audit findings,recommendations"
"External Auditor","external audit,gaap,ifrs,sox,audit planning,audit testing,internal controls,financial statements,cpa,big 4,working papers"
"FP&A Manager","fp&a,financial planning analysis,budget,forecast,variance analysis,financial modeling,excel,power bi,tableau,kpi,board deck"
"Revenue Accountant","revenue recognition,asc 606,ifrs 15,saas,subscription,contract,deferred revenue,excel,erp,netsuite,audit"
"Cost Accountant","cost accounting,standard cost,variance analysis,inventory,bill of materials,erp,sap,excel,manufacturing,cogs,overhead"
"Payroll Manager","payroll,adp,workday,ultipro,garnishments,tax withholding,w-2,payroll compliance,benefits,fmla,state taxes,excel"
"AP Manager","accounts payable,invoice processing,three-way match,vendor management,erp,sap,oracle,month end close,accruals,1099,excel"
"AR Manager","accounts receivable,collections,cash application,aging,erp,sap,oracle,credit,billing,month end close,reconciliation"
"Consolidations Accountant","consolidations,financial reporting,intercompany,foreign currency,gaap,ifrs,hyperion,onestream,hfm,multi-entity,excel"
"SOX Compliance Manager","sox,sarbanes-oxley,internal controls,audit,risk assessment,narratives,testing,deficiency,remediation,cpa,big 4"
"Fund Accountant","fund accounting,nav,net asset value,hedge fund,private equity,aum,reconciliation,prime broker,bloomberg,excel"
"Real Estate Accountant","real estate accounting,yardi,appfolio,mri,lease accounting,asc 842,ifrs 16,cap rate,noi,depreciation,gaap"
"IFRS Specialist","ifrs,gaap,ifrs 15,ifrs 16,ifrs 9,ifrs 17,technical accounting,financial statements,disclosure,policy,audit,big 4"
"IT Director","it strategy,infrastructure,budget,vendor management,team leadership,enterprise architecture,security,compliance,project management"
"CIO","cio,it strategy,digital transformation,board,budget,vendor,security,compliance,cloud,innovation,technology roadmap,talent"
"IT Architect","it architecture,enterprise architecture,solution design,infrastructure,cloud,integration,security,roadmap,togaf,standards"
"Network Administrator","networking,cisco,tcp/ip,routing,switching,vlan,vpn,firewall,dns,dhcp,windows server,linux,monitoring"
"IT Support Manager","it support,helpdesk,itsm,itil,servicenow,sla,kpi,windows,active directory,office 365,budget,team leadership"
"ERP Implementation Consultant","erp,sap,oracle,dynamics,implementation,project management,requirements,configuration,testing,training,go live,change management"
"SAP Consultant","sap,s4hana,ecc,sd,mm,fi,co,ps,hcm,abap,configuration,testing,cutover,training,support,blueprint"
"Oracle ERP Consultant","oracle,oracle cloud,oracle ebs,finance,supply chain,hcm,configuration,fast formulas,implementation,integration,sql"
"Dynamics 365 Consultant","dynamics 365,d365,f&o,bc,crm,power platform,configuration,implementation,customization,integration,training,migration"
"IT Change Manager","it change management,itsm,itil,change advisory board,cab,risk assessment,change requests,servicenow,post implementation review"
"Business Continuity Manager","business continuity,bcp,disaster recovery,rto,rpo,risk assessment,testing,crisis management,incident management,iso 22301"
"Data Center Manager","data center,infrastructure,server,storage,networking,cooling,power,monitoring,sla,capacity planning,vendor management"
"Virtualization Engineer","vmware,vsphere,esxi,vsan,nsx,hyper-v,kvm,proxmox,performance,migration,backup,veeam,disaster recovery"
"Storage Engineer","storage,san,nas,netapp,emc,pure storage,hitachi,ibm,fiber channel,iscsi,nfs,smb,backup,veeam,capacity planning"
