Job_Title,Category,Domain,Job_Description,Skills,Keywords,Domain_Signals,Sample_Resume
Tax Consultant,Tax Consultant,Finance & Banking,"Provide tax compliance and advisory services across income tax, GST/VAT, and transfer pricing. Prepare regulatory filings, manage tax risks, and liaise with authorities.",tax compliance income tax gst vat transfer pricing tax planning indirect tax direct tax erp sap excel tax advisory ifrs regulatory filings,"tax compliance,income tax,gst,vat,transfer pricing,tax planning,erp,sap,excel,ifrs,regulatory filings","tax compliance,gst,vat,transfer pricing,tax planning,ifrs,regulatory filings","Tax Consultant with tax compliance, income tax, GST/VAT, transfer pricing, IFRS, ERP/SAP, and regulatory filing expertise."
Actuary,Actuary,Finance & Banking,"Build actuarial models for life and general insurance. Conduct risk modelling, ensure Solvency II/IFRS 17 compliance, and deliver regulatory reporting with Python/R.",actuarial science pricing reserving r python sas excel statistical modeling glm risk capital solvency,"actuarial science,pricing,reserving,r,python,sas,excel,statistical modeling,glm,risk,capital,solvency,ifrs 17,mortality,morbidity","financial modeling, dcf, discounted cash flow, lbo, leveraged buyout, m&a, mergers and acquisitions, valuation, equity research, capital markets, fixed income, derivatives, options, futures, portfolio management, risk management, var, bloomberg, capital iq, excel, vba, gaap, ifrs, accounting, bookkeeping, financial statements, income statement, balance sheet, cash flow, auditing, tax, payroll, quickbooks, netsuite, sap","Actuary with actuarial science, statistical/risk modelling, Python/R, Solvency II, IFRS 17, life/general insurance, and regulatory reporting expertise."
Risk Manager,Risk Manager,Finance & Banking,"Develop and maintain enterprise risk frameworks, conduct financial and operational risk assessments, ensure regulatory compliance, and report to board risk committees.",risk management var cvar monte carlo stress testing basel credit risk market risk python excel,"risk management,var,cvar,monte carlo,stress testing,basel,solvency ii,credit risk,market risk,operational risk,python,r,excel,regulatory","risk management,enterprise risk,iso 31000,financial risk,operational risk,regulatory compliance,risk assessment","Risk Manager with enterprise risk management, ISO 31000, financial/operational risk, regulatory compliance, and risk reporting expertise."
Compliance Officer,Compliance Officer,Finance & Banking,"Ensure organisational compliance with AML/KYC, GDPR, ISO 27001, and SOX regulations. Develop policies, conduct compliance audits, and report to regulatory bodies.",compliance regulatory risk management audit policy kyc aml gdpr hipaa sox training,"compliance,regulatory,risk management,audit,policy,procedure,kyc,aml,gdpr,hipaa,sox,bsa,training,reporting","compliance,aml,kyc,gdpr,iso 27001,sox,policy development,risk assessment","Compliance Officer with AML/KYC, GDPR, ISO 27001, SOX, policy development, compliance auditing, and regulatory reporting expertise."
Human Resources Manager,Human Resources Manager,Human Resources,"Oversee talent acquisition, performance cycles, compensation design, and employee relations. Manage Workday/SAP HRIS and build people analytics dashboards.",hris workday sap hr talent acquisition performance management compensation benefits employee relations labour law onboarding succession planning hr analytics,"hris,workday,sap hr,talent acquisition,performance management,compensation,benefits,employee relations,labour law,onboarding,succession planning,hr analytics","hris,workday,sap hr,talent acquisition,performance management,succession planning,hr analytics,labour law","HR Manager with Workday HRIS, talent acquisition, performance management, compensation, people analytics, and labour law expertise."
Recruiter,Recruiter,Human Resources,"Source and recruit top talent across technical and commercial roles. Manage ATS pipelines in Workday/Greenhouse, build employer brand, and partner with hiring managers.",recruitment talent acquisition sourcing linkedin candidate assessment interview ats greenhouse lever,"recruitment,talent acquisition,sourcing,linkedin,candidate assessment,interview,offer,ats,greenhouse,lever,workday,pipeline,jd writing","recruitment, talent acquisition, onboarding, performance management, compensation, benefits, payroll, hris, workday, successfactors, bamboohr, adp, employee relations, learning and development, succession planning, diversity equity inclusion, dei, organizational development, workforce planning, employee engagement","Recruiter with talent acquisition, LinkedIn Recruiter, ATS/Workday/Greenhouse, sourcing, employer branding, and stakeholder partnership expertise."
Supply Chain Analyst,Supply Chain Analyst,Logistics & Supply Chain,"Analyse supply chain metrics, build demand planning and inventory optimisation models, manage SAP/Oracle ERP data, and deliver Tableau dashboards.",supply chain logistics erp sap demand planning inventory procurement rfq lean six sigma excel,"supply chain,logistics,erp,sap,oracle,demand planning,s&op,inventory management,procurement,rfq,lean,six sigma,excel","demand planning,inventory optimisation,sap,erp,procurement,lean six sigma,logistics kpi,forecasting","Supply Chain Analyst with SAP/ERP, demand planning, inventory optimisation, Python/SQL, Tableau, and lean six sigma expertise."
Logistics Coordinator,Logistics Coordinator,Logistics & Supply Chain,"Coordinate shipments, manage freight forwarders, handle customs clearance, track logistics KPIs, and use SAP/ERP to manage supplier and warehouse operations.",logistics coordination shipment tracking freight forwarding customs clearance erp sap excel supplier management warehouse operations documentation,"logistics coordination,shipment tracking,freight forwarding,customs clearance,erp,sap,excel,supplier management,warehouse operations","logistics coordination,freight forwarding,customs clearance,erp,sap,shipment tracking","Logistics Coordinator with freight forwarding, customs clearance, shipment tracking, SAP/ERP, supplier management, and warehouse operations expertise."
Warehouse Supervisor,Warehouse Supervisor,Logistics & Supply Chain,"Supervise warehouse operations, manage inventory with WMS/SAP, ensure health and safety compliance, track KPIs, and lead teams to meet fulfilment targets.",warehouse management inventory control wms erp sap forklift operation health safety stock management kpi reporting team supervision lean,"warehouse management,inventory control,wms,erp,sap,forklift,health safety,stock management,kpi reporting,lean","warehouse management,inventory control,wms,erp,lean,kpi reporting,health safety","Warehouse Supervisor with WMS, inventory control, SAP/ERP, health & safety, KPI reporting, team supervision, and lean operations expertise."
Management Consultant,Management Consultant,Analytics & Consulting,"Deliver strategic and operational consulting engagements. Conduct analyses, develop recommendations, manage stakeholders, and implement process improvement and change programmes.",consulting strategy operations stakeholder excel powerpoint financial analysis recommendations client,"consulting,strategy,operations,stakeholder,excel,powerpoint,financial analysis,recommendations,presentations,client","management consulting,strategy,problem solving,stakeholder management,process improvement,change management","Management Consultant with strategy, problem solving, stakeholder management, data analysis, process improvement, change management, and client delivery expertise."
Strategy Consultant,Strategy Consultant,Analytics & Consulting,"Lead corporate strategy projects, conduct market and competitive analysis, build financial models, evaluate M&A opportunities, and deliver board-level presentations.",strategy market analysis business development competitive analysis financial modeling excel powerpoint,"strategy,market analysis,business development,competitive analysis,financial modeling,excel,powerpoint,stakeholder,executive","strategy consulting,corporate strategy,market analysis,competitive intelligence,financial modelling,m&a","Strategy Consultant with corporate strategy, market/competitive analysis, financial modelling, M&A, stakeholder management, and board-level presentation expertise."
Business Development Manager,Business Development Manager,Sales & Business Development,"Identify and develop new business opportunities, manage partner relationships, build CRM pipelines, write proposals, and drive B2B revenue growth.",business development partnerships sales crm salesforce lead generation negotiation revenue growth,"business development,partnerships,sales,crm,salesforce,hubspot,lead generation,negotiation,revenue growth,account management,enterprise","business development,sales strategy,crm,salesforce,pipeline management,partnership development,market expansion","Business Development Manager with business development, sales strategy, Salesforce CRM, partnership development, market expansion, and B2B revenue expertise."
Sales Manager,Sales Manager,Sales & Business Development,"Lead sales teams to exceed revenue targets, manage CRM pipelines in Salesforce/HubSpot, develop go-to-market strategies, and build B2B/SaaS client relationships.",sales strategy crm salesforce hubspot team management target setting revenue forecasting pipeline management b2b saas account management negotiation,"sales strategy,crm,salesforce,hubspot,team management,target setting,revenue forecasting,pipeline management,b2b,saas,negotiation","sales strategy,crm,salesforce,hubspot,revenue forecasting,pipeline management,b2b,negotiation","Sales Manager with sales strategy, Salesforce/HubSpot CRM, team leadership, revenue forecasting, B2B/SaaS pipeline management, and negotiation expertise."
Account Manager,Account Manager,Sales & Business Development,"Manage strategic client accounts, drive upsell/cross-sell opportunities, renew contracts, and build long-term relationships using Salesforce CRM.",account management crm salesforce client relationship upsell cross-sell contract negotiation revenue growth stakeholder management b2b customer success,"account management,crm,salesforce,client relationship,upsell,cross-sell,contract negotiation,revenue growth,b2b,customer success","account management,crm,salesforce,upsell,cross-sell,contract negotiation,revenue growth,customer success","Account Manager with CRM/Salesforce, client relationship management, upsell/cross-sell, contract negotiation, and revenue growth expertise."
Corporate Lawyer,Corporate Lawyer,General,corporate lawyer skills experience responsibilities and industry knowledge,corporate law m&a securities governance transactions due diligence contracts compliance sec filings,"corporate law,m&a,securities,governance,transactions,due diligence,contracts,compliance,sec filings,board,shareholder,financing",,experienced professional with skills in corporate lawyer related tools technologies and responsibilities
Litigation Attorney,Litigation Attorney,General,litigation attorney skills experience responsibilities and industry knowledge,litigation civil trial arbitration mediation discovery deposition motion brief appellate expert witness,"litigation,civil litigation,trial,arbitration,mediation,discovery,deposition,motion,brief,appellate,expert witness,damages",,experienced professional with skills in litigation attorney related tools technologies and responsibilities
Paralegal,Paralegal,General,paralegal skills experience responsibilities and industry knowledge,legal research drafting filing discovery deposition contract review westlaw lexisnexis case management,"legal research,drafting,filing,discovery,deposition,contract review,westlaw,lexisnexis,case management,litigation support,e-discovery",,experienced professional with skills in paralegal related tools technologies and responsibilities
Marketing Director,Marketing Director,General,marketing director skills experience responsibilities and industry knowledge,marketing strategy brand management seo sem campaigns digital marketing google analytics hubspot roi,"marketing strategy,brand management,seo,sem,campaigns,digital marketing,content marketing,social media,google analytics,hubspot,salesforce,roi",,experienced professional with skills in marketing director related tools technologies and responsibilities
Brand Manager,Brand Manager,General,brand manager skills experience responsibilities and industry knowledge,brand management brand strategy brand identity campaigns market research consumer insights positioning,"brand management,brand strategy,brand identity,campaigns,market research,consumer insights,positioning,competitive analysis,p&l,portfolio management",,experienced professional with skills in brand manager related tools technologies and responsibilities
SEO Specialist,SEO Specialist,Digital Marketing,"Optimise websites for organic search through technical SEO audits, keyword research, content strategy, backlink building, and Core Web Vitals improvements.",seo on-page off-page technical seo keyword research google analytics semrush ahrefs content marketing,"seo,on-page seo,off-page seo,technical seo,keyword research,google analytics,google search console,semrush,ahrefs,content marketing,link building,core web vitals","seo, sem, ppc, google ads, facebook ads, meta ads, instagram ads, linkedin ads, programmatic, email marketing, marketing automation, hubspot, marketo, salesforce marketing cloud, mailchimp, klaviyo, content marketing, social media marketing, influencer marketing, affiliate marketing, brand management, brand strategy, copywriting, conversion rate optimization, cro, landing page, demand generation, lead generation, inbound marketing","SEO Specialist with on-page/technical SEO, keyword research, Ahrefs/SEMrush, Google Search Console, GA4, Core Web Vitals, and backlink expertise."
Social Media Manager,Social Media Manager,Digital Marketing,"Develop and execute social media strategies across Instagram, TikTok, and LinkedIn. Create content, manage communities, run paid Meta campaigns, and report on analytics.",social media content creation instagram tiktok linkedin twitter canva scheduling hootsuite analytics,"social media,content creation,instagram,tiktok,linkedin,twitter,facebook,youtube,canva,scheduling,hootsuite,analytics,engagement","social media strategy,content creation,community management,instagram,tiktok,meta ads,canva","Social Media Manager with social strategy, content creation, community management, Instagram/TikTok/LinkedIn, Meta Ads, Canva, and analytics expertise."
Digital Marketer,Digital Marketer,Digital Marketing,"Drive digital growth through SEO, SEM, paid social, email, and CRM campaigns. Analyse with GA4, optimise CRO, and manage HubSpot/Salesforce pipelines.",seo sem google ads meta ads email marketing crm hubspot salesforce marketing analytics ga4 content marketing social media a/b testing conversion rate optimisation,"seo,sem,google ads,meta ads,email marketing,crm,hubspot,salesforce,ga4,content marketing,social media,a/b testing,conversion rate optimisation","seo,sem,google ads,meta ads,hubspot,salesforce,ga4,content marketing,a/b testing,conversion rate optimisation","Digital Marketer with SEO, SEM, Google/Meta Ads, HubSpot, Salesforce, GA4, email marketing, and CRO expertise."
Market Research Analyst,Market Research Analyst,Analytics & Consulting,"Design and execute market research studies, analyse consumer insights, conduct competitive intelligence, and deliver actionable recommendations with Tableau/SPSS.",market research survey design spss tableau excel data analysis competitive intelligence consumer insights focus groups quantitative qualitative research python,"market research,survey design,spss,tableau,excel,competitive intelligence,consumer insights,focus groups,quantitative research,qualitative research,python","market research,survey design,spss,competitive intelligence,consumer insights,focus groups","Market Research Analyst with survey design, SPSS, Tableau, competitive intelligence, consumer insights, and qualitative/quantitative research expertise."
Public Relations Specialist,Public Relations Specialist,Marketing & Communications,"Develop and execute PR strategies, write press releases, manage media relations, handle crisis communications, and build brand reputation across channels.",media relations press release copywriting crisis communications brand messaging social media stakeholder engagement event management pr strategy,"media relations,press release,copywriting,crisis communications,brand messaging,social media,stakeholder engagement,event management,pr strategy","media relations,press release,crisis communications,brand messaging,social media,pr strategy","PR Specialist with media relations, press release writing, crisis communications, brand messaging, social media, and PR strategy expertise."
Copywriter,Copywriter,Digital Marketing,"Write compelling copy for digital ads, landing pages, emails, and social media. Develop brand voice guidelines, optimise for SEO, and A/B test conversion-focused content.",copywriting brand voice advertising campaigns digital social media email landing page seo headlines,"copywriting,brand voice,advertising,campaigns,digital,social media,email,landing page,seo,headlines,cta,editing,proofreading","copywriting,seo,content strategy,brand voice,content marketing,ad copy,email marketing","Copywriter with SEO copywriting, content strategy, brand voice, ad copy, email marketing, social media, and A/B testing expertise."
Technical Writer,Technical Writer,Technical Communication,"Create API references, user guides, and release notes. Implement docs-as-code with Git/Markdown, publish with Confluence/MkDocs, and collaborate with engineering.",documentation api docs swagger openapi markdown confluence github user guides style guide docs as code,"documentation,api docs,swagger,openapi,markdown,confluence,github,user guides,readme,style guide,docs as code,screencasts,tutorials","technical documentation,api documentation,swagger,openapi,markdown,confluence,docs as code,dita","Technical Writer with API documentation, Swagger/OpenAPI, Markdown, Confluence, docs-as-code, and DITA expertise."
Creative Director,Creative Director,General,creative director skills experience responsibilities and industry knowledge,creative strategy brand campaigns team leadership concept development art direction design presentations,"creative strategy,brand,campaigns,team leadership,concept development,art direction,design,copy,photoshop,illustrator,presentations",,experienced professional with skills in creative director related tools technologies and responsibilities
Graphic Designer,Graphic Designer,Design,"Create visual identities, brand materials, and digital assets using Adobe Creative Suite and Figma. Develop typography systems, motion graphics, and print/digital designs.",photoshop illustrator indesign figma brand identity typography logo design color theory print digital,"photoshop,illustrator,indesign,figma,brand identity,typography,logo design,layout design,color theory,print,digital,after effects","adobe photoshop,illustrator,indesign,figma,typography,branding,visual identity,motion graphics","Graphic Designer with Adobe Photoshop, Illustrator, InDesign, Figma, typography, branding, visual identity, and motion graphics expertise."
Illustrator,Illustrator,General,illustrator skills experience responsibilities and industry knowledge,illustration procreate adobe illustrator photoshop character design concept art editorial digital art,"illustration,procreate,adobe illustrator,photoshop,character design,concept art,editorial,children's book,digital art,drawing",,experienced professional with skills in illustrator related tools technologies and responsibilities
Animator,Animator,Media & Entertainment,"Create character animation and 3D assets using Maya/Blender. Rig characters, develop motion graphics in After Effects, and integrate assets into Unity/Unreal Engine.",animation after effects maya blender cinema 4d rigging character animation 2d 3d motion design,"animation,after effects,maya,blender,cinema 4d,rigging,character animation,2d animation,3d animation,motion design,storyboard","maya,blender,after effects,character animation,rigging,3d modelling,texturing,rendering","Animator with Maya, Blender, After Effects, character animation, rigging, 3D modelling, texturing, and Unity/Unreal Engine expertise."
Video Editor,Video Editor,Media & Entertainment,"Edit video content across broadcast and digital platforms using Premiere Pro/DaVinci Resolve. Create motion graphics in After Effects, colour grade footage, and mix audio.",video editing premiere pro final cut after effects davinci resolve color grading sound design,"video editing,premiere pro,final cut pro,after effects,davinci resolve,color grading,sound design,motion graphics,storytelling","premiere pro,after effects,davinci resolve,colour grading,motion graphics,sound design","Video Editor with Premiere Pro, After Effects, DaVinci Resolve, colour grading, motion graphics, sound design, and social media content expertise."
Photographer,Photographer,Media & Entertainment,"Produce professional photography across portrait, commercial, and editorial genres. Edit and colour grade images in Lightroom/Photoshop and deliver client-ready work.",photography lightroom photoshop studio lighting composition portrait wedding commercial retouching,"photography,lightroom,photoshop,capture one,studio,lighting,composition,portrait,wedding,commercial,retouching,color grading","photography,adobe lightroom,photoshop,studio lighting,colour grading","Photographer with Adobe Lightroom, Photoshop, studio lighting, portrait/commercial photography, colour grading, and client management expertise."
Fashion Designer,Fashion Designer,Design,"Design seasonal fashion collections through trend research, patternmaking, fabric sourcing, and technical illustration. Develop lookbooks and manage production handoffs.",cad clo 3d pattern making draping textile sourcing garment construction tech pack sustainable fashion,"cad,clo 3d,pattern making,draping,textile,sourcing,garment construction,tech pack,sustainable fashion,trend,collection","fashion design,cad,patternmaking,draping,fabric sourcing,trend research,collection development","Fashion Designer with fashion design, CAD/Illustrator, patternmaking, fabric sourcing, trend research, and collection development expertise."
Interior Designer,Interior Designer,Design,"Design functional interior spaces using AutoCAD/Revit. Develop 3D visualisations in 3ds Max/VRay, prepare materials specifications, and manage client presentations.",revit autocad sketchup ff&e space planning lighting design material selection project management leed,"revit,autocad,sketchup,ff&e,space planning,lighting design,material selection,client presentation,project management,leed,ncidq","autocad,revit,3ds max,sketchup,vray,space planning,materials specification","Interior Designer with AutoCAD, Revit, 3ds Max, SketchUp/VRay, space planning, materials specification, and project management expertise."
Game Designer,Game Designer,General,game designer skills experience responsibilities and industry knowledge,unity unreal game mechanics level design player experience narrative design gdd user testing,"unity,unreal,game mechanics,level design,player experience,narrative design,balancing,prototyping,gdd,game design document,user testing",,experienced professional with skills in game designer related tools technologies and responsibilities
Journalist,Journalist,Media & Communications,"Research and write investigative and feature articles. Conduct interviews, fact-check, manage CMS publishing, optimise content for SEO, and produce multimedia stories.",journalism reporting writing editing research sources fact checking seo cms wordpress social media,"journalism,reporting,writing,editing,research,sources,fact checking,seo,cms,wordpress,social media,multimedia,interview","investigative journalism,writing,fact-checking,interview techniques,cms,wordpress,seo","Journalist with investigative journalism, writing, research, fact-checking, interview techniques, CMS/WordPress, and SEO content expertise."
Editor,Editor,General,editor skills experience responsibilities and industry knowledge,editing proofreading manuscript publishing content strategy style guide cms wordpress seo,"editing,proofreading,manuscript,publishing,content strategy,style guide,cms,wordpress,seo,team management,editorial calendar",,experienced professional with skills in editor related tools technologies and responsibilities
Event Planner,Event Planner,Marketing & Communications,"Plan and execute corporate and public events from concept to delivery. Manage budgets, coordinate vendors and logistics, and ensure seamless stakeholder experiences.",event management budget management venue sourcing vendor management logistics coordination project management stakeholder management marketing promotion,"event management,budget management,venue sourcing,vendor management,logistics,project management,stakeholder management,marketing promotion","event management,venue sourcing,vendor management,logistics,project management","Event Planner with event management, budget control, venue sourcing, vendor management, logistics coordination, and stakeholder communication expertise."
Actor,Actor,General,actor skills experience responsibilities and industry knowledge,acting auditions scripts character development performance film tv theatre voice physical agent casting,"acting,auditions,scripts,character development,performance,film,tv,theatre,voice,physical,agent,casting",,experienced professional with skills in actor related tools technologies and responsibilities
Director,Director,Executive Leadership,"Lead strategic initiatives, manage cross-functional teams, own P&L, engage with C-suite stakeholders, and drive organisational growth and transformation.",strategic leadership team management budget responsibility stakeholder management corporate strategy p&l cross-functional leadership product roadmap,"strategic leadership,team management,budget responsibility,stakeholder management,corporate strategy,p&l,cross-functional leadership","strategic leadership,team management,stakeholder management,corporate strategy,p&l","Director with strategic leadership, P&L management, cross-functional team leadership, stakeholder management, and corporate strategy expertise."
Screenwriter,Screenwriter,Media & Entertainment,"Develop original screenplays and adaptations. Craft compelling story structures, dialogue, and character arcs for TV drama and feature film production.",screenplay writing story structure dialogue character development script coverage final draft celtx pitching tv drama feature film adaptation,"screenplay writing,story structure,dialogue,character development,script coverage,final draft,celtx,pitching,tv drama,feature film","screenplay writing,story structure,character development,final draft,celtx,pitching","Screenwriter with screenplay writing, story structure, dialogue, character development, Final Draft/Celtx, and TV/film pitching expertise."
University Professor,University Professor,General,university professor skills experience responsibilities and industry knowledge,research teaching publications peer review grant writing curriculum development phd advising,"research,teaching,publications,peer review,grant writing,curriculum development,academic writing,phd,advising,laboratory",,experienced professional with skills in university professor related tools technologies and responsibilities
School Teacher,School Teacher,Education,"Plan and deliver engaging lessons aligned to curriculum standards, assess student progress, manage classroom behaviour, and maintain safeguarding compliance.",curriculum planning lesson planning classroom management student assessment differentiated instruction pedagogy lms safeguarding communication microsoft office,"curriculum planning,lesson planning,classroom management,student assessment,differentiated instruction,pedagogy,lms,safeguarding,communication","curriculum planning,lesson planning,classroom management,student assessment,pedagogy,lms,safeguarding","School Teacher with curriculum planning, lesson design, classroom management, student assessment, differentiated instruction, LMS, and safeguarding expertise."
Tutor,Tutor,General,tutor skills experience responsibilities and industry knowledge,tutoring academic support math science english reading writing sat act test prep,"tutoring,academic support,math,science,english,reading,writing,sat,act,gre,gmat,test prep,one-on-one,group",,experienced professional with skills in tutor related tools technologies and responsibilities
Academic Advisor,Academic Advisor,General,academic advisor skills experience responsibilities and industry knowledge,academic advising degree planning graduation requirements registration career counseling retention,"academic advising,degree planning,graduation requirements,registration,career counseling,retention,student success,advising tools",,experienced professional with skills in academic advisor related tools technologies and responsibilities
Librarian,Librarian,General,librarian skills experience responsibilities and industry knowledge,library science cataloging classification marc collection development reference services information literacy,"library science,cataloging,classification,marc,collection development,reference services,database searching,information literacy",,experienced professional with skills in librarian related tools technologies and responsibilities
Principal,Principal,Education,"Lead school strategy, manage staff and budgets, ensure Ofsted/regulatory compliance, oversee curriculum quality, and champion safeguarding and community engagement.",school leadership strategic planning staff management budget management ofsted compliance curriculum oversight safeguarding parental engagement community relations,"school leadership,strategic planning,staff management,budget management,ofsted compliance,curriculum oversight,safeguarding,parental engagement","school leadership,strategic planning,staff management,ofsted compliance,curriculum oversight,safeguarding","School Principal with school leadership, strategic planning, staff management, budget control, Ofsted compliance, and curriculum oversight expertise."
School Counselor,School Counselor,General,school counselor skills experience responsibilities and industry knowledge,school counseling college counseling social emotional learning college readiness crisis intervention 504 iep,"school counseling,college counseling,social emotional learning,sel,counseling,college readiness,crisis intervention,504,iep",,experienced professional with skills in school counselor related tools technologies and responsibilities
Social Worker,Social Worker,Public & Social Services,"Manage complex caseloads, conduct risk assessments, develop care plans, enforce statutory duties, provide family support, and maintain detailed case documentation.",social work case management counseling assessment intervention mental health child welfare documentation,"social work,case management,counseling,assessment,intervention,mental health,child welfare,documentation,hipaa,community resources","case management,safeguarding,risk assessment,care planning,statutory duties,family support","Social Worker with case management, safeguarding, risk assessment, care planning, statutory duties, and documentation expertise."
Psychologist,Psychologist,Healthcare Technology,"Conduct psychological assessments, deliver CBT/DBT therapy, maintain clinical documentation in EMR systems, and contribute to mental health research.",psychology cbt dbt assessment diagnosis mental health research publications supervision clinical,"psychology,cbt,dbt,assessment,diagnosis,mental health,research,publications,supervision,clinical,neuropsychology","psychological assessment,cbt,dbt,clinical psychology,mental health,emr","Psychologist with psychological assessment, CBT/DBT, clinical psychology, mental health practice, EMR documentation, and research statistics expertise."
Police Officer,Police Officer,Public Safety & Law Enforcement,"Enforce laws, conduct criminal investigations, collect evidence, produce accurate reports, perform community policing, and de-escalate conflict situations.",law enforcement crime investigation report writing community policing evidence collection arrest procedures first aid de-escalation conflict resolution,"law enforcement,crime investigation,report writing,community policing,evidence collection,arrest procedures,first aid,de-escalation","law enforcement,crime investigation,community policing,evidence collection,de-escalation","Police Officer with law enforcement, crime investigation, community policing, evidence collection, de-escalation, and report writing expertise."
Detective,Detective,Public Safety & Law Enforcement,"Conduct criminal investigations, gather and analyse evidence, conduct witness interviews, perform surveillance, and prepare case files for prosecution.",criminal investigation evidence analysis interview techniques surveillance forensics report writing crime scene analysis intelligence gathering case management,"criminal investigation,evidence analysis,interview techniques,surveillance,forensics,report writing,crime scene analysis,intelligence gathering","criminal investigation,evidence analysis,interview techniques,surveillance,forensics,crime scene analysis","Detective with criminal investigation, evidence analysis, surveillance, forensic analysis, interview techniques, and intelligence gathering expertise."
Firefighter,Firefighter,Public Safety & Law Enforcement,"Respond to fire, rescue, and hazmat incidents. Apply ICS protocols, operate ladders and breathing apparatus, provide first aid, and conduct fire safety inspections.",fire suppression rescue operations hazmat first aid bls incident command system ics ladder operations water hydraulics breathing apparatus fire safety inspections,"fire suppression,rescue operations,hazmat,first aid,bls,ics,ladder operations,fire safety inspections,breathing apparatus","fire suppression,rescue operations,hazmat,ics,breathing apparatus,fire safety","Firefighter with fire suppression, rescue operations, hazmat, ICS, breathing apparatus, BLS first aid, and fire safety inspection expertise."
Policy Analyst,Policy Analyst,General,policy analyst skills experience responsibilities and industry knowledge,policy research legislation government stakeholder analysis cost benefit analysis report writing,"policy research,legislation,government,stakeholder analysis,cost benefit analysis,report writing,public administration,advocacy,budget",,experienced professional with skills in policy analyst related tools technologies and responsibilities
Urban Planner,Urban Planner,Government & Public Sector,"Develop land use plans, analyse GIS data, write planning policies, consult communities, manage zoning decisions, and promote sustainable urban development.",gis arcgis land use zoning transportation planning environmental review community engagement sustainability,"gis,arcgis,land use,zoning,transportation planning,environmental review,community engagement,demographic analysis,sustainability,bim","urban planning,gis,arcgis,planning policy,land use,zoning,community consultation,sustainability,transport planning","Urban Planner with urban planning, GIS/ArcGIS, planning policy, land use zoning, community consultation, sustainability, and transport planning expertise."
Statistician,Statistician,Data Science & Analytics,"Apply statistical methods for experiment design, survey analysis, predictive modelling, and data interpretation using R/Python.",statistics r python sas stata regression anova bayesian experimental design monte carlo simulation,"statistics,r,python,sas,stata,spss,regression,anova,bayesian,experimental design,monte carlo,simulation,publications","r,statistical modelling,regression,bayesian inference,time series,anova,experimental design,multivariate analysis,spss,sas","Statistician with R, Python, statistical modelling, Bayesian inference, regression, hypothesis testing, experimental design, and SPSS/SAS expertise."
Environmental Scientist,Environmental Scientist,General,environmental scientist skills experience responsibilities and industry knowledge,gis arcgis environmental assessment field sampling ecology water quality contamination remediation,"gis,arcgis,environmental assessment,field sampling,ecology,water quality,air quality,contamination,remediation,sustainability,iso 14001",,experienced professional with skills in environmental scientist related tools technologies and responsibilities
Agronomist,Agronomist,General,agronomist skills experience responsibilities and industry knowledge,agronomy crop science soil science fertilization pest management irrigation gis precision agriculture yield,"agronomy,crop science,soil science,fertilization,pest management,irrigation,gis,precision agriculture,yield,seed,crop production",,experienced professional with skills in agronomist related tools technologies and responsibilities
Soil Scientist,Soil Scientist,General,soil scientist skills experience responsibilities and industry knowledge,soil science soil survey field sampling gis mapping soil health carbon remediation fertility usda,"soil science,soil survey,field sampling,laboratory,gis,mapping,soil health,carbon,remediation,fertility,usda,nrcs",,experienced professional with skills in soil scientist related tools technologies and responsibilities
Farm Manager,Farm Manager,Agriculture Technology,"Manage crop and livestock operations, apply precision agriculture with GPS/IoT, manage irrigation and pest control, oversee budgets, and ensure sustainable farm practices.",farm management crop production livestock management irrigation precision agriculture gps mapping iot sensors agritech budgeting pest management sustainability,"farm management,crop production,livestock management,irrigation,precision agriculture,gps mapping,iot sensors,budgeting,pest management,sustainability","farm management,crop production,precision agriculture,gps mapping,iot sensors,pest management","Farm Manager with crop/livestock management, precision agriculture, GPS/IoT, irrigation, pest management, budgeting, and sustainability expertise."
Electrician,Electrician,General,electrician skills experience responsibilities and industry knowledge,electrical installation wiring circuit breaker panel conduit nec osha testing inspection residential commercial,"electrical installation,wiring,circuit breaker,panel,conduit,nec,osha,testing,inspection,residential,commercial,industrial",,experienced professional with skills in electrician related tools technologies and responsibilities
Plumber,Plumber,General,plumber skills experience responsibilities and industry knowledge,plumbing pipe installation repair soldering pvc copper gas line water heater code inspection residential,"plumbing,pipe,installation,repair,soldering,pvc,copper,gas line,water heater,code,inspection,residential,commercial",,experienced professional with skills in plumber related tools technologies and responsibilities
Carpenter,Carpenter,General,carpenter skills experience responsibilities and industry knowledge,carpentry framing finish cabinet making woodworking blueprint tools renovation residential commercial safety,"carpentry,framing,finish,cabinet making,woodworking,blueprint,tools,renovation,residential,commercial,safety,osha",,experienced professional with skills in carpenter related tools technologies and responsibilities
Welder,Welder,General,welder skills experience responsibilities and industry knowledge,welding mig tig stick flux core blueprint metal aluminum stainless quality inspection osha,"welding,mig,tig,stick,flux core,blueprint reading,metal,aluminum,stainless,quality,inspection,osha,certification",,experienced professional with skills in welder related tools technologies and responsibilities
Machinist,Machinist,General,machinist skills experience responsibilities and industry knowledge,machining cnc lathe mill blueprint tolerances gd&t quality inspection programming fanuc haas,"machining,cnc,lathe,mill,blueprint,tolerances,gd&t,quality,inspection,programming,fanuc,haas,solidworks,measurement",,experienced professional with skills in machinist related tools technologies and responsibilities
